Diagnose;Schlüssel;Anzahl von Diagnose
Prellung sonstiger Teile des Handgelenkes und der Hand;S60.2;Gefährlich
Sekundäre Rechtsherzinsuffizienz;I50.01;Gefährlich
Plagiozephalie;Q67.3;Gefährlich
Pupillenfunktionsstörungen;H57.0;Gefährlich
Neuromuskuläre Dysfunktion der Harnblase, nicht näher bezeichnet;N31.9;Gefährlich
Koarktation der Aorta;Q25.1;Gefährlich
Gelenkschmerz: Unterschenkel [Fibula, Tibia, Kniegelenk];M25.56;Gefährlich
Missbrauch einer psychotropen Substanz in der Eigenanamnese;Z86.4;Gefährlich
Grippe mit sonstigen Manifestationen an den Atemwegen, sonstige Influenzaviren nachgewiesen;J10.1;Gefährlich
Hypertrophische obstruktive Kardiomyopathie;I42.1;Gefährlich
Hypotonie, nicht näher bezeichnet;I95.9;Gefährlich
Karies des Dentins;K02.1;Gefährlich
Nichtorganische Enkopresis;F98.1;Gefährlich
Herzrhythmusstörung beim Neugeborenen;P29.1;Gefährlich
Hyperglykämie, nicht näher bezeichnet;R73.9;Gefährlich
Intrazerebrale (nichttraumatische) Blutung beim Feten und Neugeborenen;P52.4;Gefährlich
Neurogene Darmstörung, anderenorts nicht klassifiziert;K59.2;Gefährlich
Herzgeräusch, nicht näher bezeichnet;R01.1;Gefährlich
Dysmenorrhoe, nicht näher bezeichnet;N94.6;Gefährlich
Brustschmerzen, nicht näher bezeichnet;R07.4;Gefährlich
Andere endokrine, Ernährungs- oder Stoffwechselkrankheiten in der Familienanamnese;Z83.4;Gefährlich
Defekt des Vorhof- und Kammerseptums;Q21.2;Gefährlich
Auf den familiären Rahmen beschränkte Störung des Sozialverhaltens;F91.0;Gefährlich
Angeborene Fehlbildungssyndrome mit vorwiegender Beteiligung des Gesichtes;Q87.0;Gefährlich
Verbrennung Grad 2a der Hüfte und des Beines, ausgenommen Knöchelregion und Fuß;T24.20;Gefährlich
Sonstige näher bezeichnete Krankheiten oder Zustände in der Familienanamnese;Z84.8;Gefährlich
Sonstige näher bezeichnete Risikofaktoren in der Eigenanamnese, anderenorts nicht klassifiziert;Z91.8;Gefährlich
Transitorische Thrombozytopenie beim Neugeborenen;P61.0;Gefährlich
Sonstige Urtikaria;L50.8;Gefährlich
Sonstige und nicht näher bezeichnete Sensibilitätsstörungen der Haut;R20.8;Gefährlich
Supraventrikuläre Tachykardie;I47.1;Gefährlich
Persistierender Fetalkreislauf;P29.3;Gefährlich
Personen, die Einrichtungen des Gesundheitswesens wegen spezifischer Maßnahmen aufgesucht haben, die aber nicht durchgeführt wurden;Z53;Gefährlich
Schlafwandeln [Somnambulismus];F51.3;Gefährlich
Schädeldachfraktur;S02.0;Gefährlich
Kandidose der Vulva und der Vagina;B37.3;Gefährlich
Herzstillstand mit erfolgreicher Wiederbelebung;I46.0;Gefährlich
Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems in der Familienanamnese;Z83.2;Gefährlich
Komplizierte Migräne;G43.3;Gefährlich
Linksherzinsuffizienz: Nicht näher bezeichnet;I50.19;Gefährlich
Hyperkinetische Störung des Sozialverhaltens;F90.1;Gefährlich
Expressive Sprachstörung;F80.1;Gefährlich
Akute Sinusitis, nicht näher bezeichnet;J01.9;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik der Lunge;R91;Gefährlich
Chronische Tonsillitis;J35.0;Gefährlich
Abnormer Glukosetoleranztest;R73.0;Gefährlich
Angeborene Hydrozele;P83.5;Gefährlich
Azetonurie;R82.4;Gefährlich
Beschleunigte Blutkörperchensenkungsreaktion;R70.0;Gefährlich
Darmperforation in der Perinatalperiode;P78.0;Gefährlich
Angeborene Gehirnzysten;Q04.6;Gefährlich
Endokrine, Ernährungs- oder Stoffwechselkrankheiten in der Eigenanamnese;Z86.3;Gefährlich
Sonstige näher bezeichnete Muskelkrankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];M62.88;Gefährlich
Sonstige oberflächliche Verletzungen des Handgelenkes und der Hand: Schürfwunde;S60.81;Gefährlich
Viruswarzen;B07;Gefährlich
Untersuchung und Beobachtung nach Transportmittelunfall;Z04.1;Gefährlich
Sonstige nichtorganische Schlafstörungen;F51.8;Gefährlich
Verbrennung Grad 2a der Schulter und des Armes, ausgenommen Handgelenk und Hand: Unterarm und Ellenbogen;T22.21;Gefährlich
Sonstige oberflächliche Verletzungen der Hüfte und des Oberschenkels: Schürfwunde;S70.81;Gefährlich
Sonstige näher bezeichnete Krankheiten des Trommelfells;H73.8;Gefährlich
Vorhandensein eines kardialen elektronischen Geräts;Z95.0;Gefährlich
Sonstige näher bezeichnete Geburtsverletzungen;P15.8;Gefährlich
Sonstige Konjunktivitis;H10.8;Gefährlich
Pyodermie;L08.0;Gefährlich
Pneumonie durch Nahrung oder Erbrochenes;J69.0;Gefährlich
Sekundärer Normaldruckhydrozephalus;G91.21;Gefährlich
Prellung eines oder mehrerer Finger ohne Schädigung des Nagels;S60.0;Gefährlich
Pedikulose durch Pediculus humanus capitis;B85.0;Gefährlich
Primär insulinabhängiger Diabetes mellitus [Typ-1-Diabetes]: Ohne Komplikationen: Als entgleist bezeichnet;E10.91;Gefährlich
Sonstige näher bezeichnete Dermatitis;L30.8;Gefährlich
Kleinwuchs, anderenorts nicht klassifiziert;E34.3;Gefährlich
Neutropenie, nicht näher bezeichnet;D70.7;Gefährlich
Hypästhesie der Haut;R20.1;Gefährlich
Hautabszess, Furunkel und Karbunkel am Rumpf;L02.2;Gefährlich
Akute respiratorische Insuffizienz, anderenorts nicht klassifiziert: Typ II [hyperkapnisch];J96.01;Gefährlich
Entzugssymptome beim Neugeborenen bei Einnahme von abhängigkeitserzeugenden Arzneimitteln oder Drogen durch die Mutter;P96.1;Gefährlich
Dekubitus 3. Grades: Kopf;L89.20;Gefährlich
Diabetes mellitus, Typ 1: Ohne Komplikationen: Nicht als entgleist bezeichnet;E10.90;Gefährlich
Akute Kolpitis;N76.0;Gefährlich
Zahnkaries, nicht näher bezeichnet;K02.9;Gefährlich
Verbrennung Grad 2a des Rumpfes: Bauchdecke;T21.23;Gefährlich
Splenomegalie, anderenorts nicht klassifiziert;R16.1;Gefährlich
Sonstige und nicht näher bezeichnete Hydronephrose;N13.3;Gefährlich
Sonstige und nicht näher bezeichnete Hautveränderungen;R23.8;Gefährlich
Sonstige Störungen des Stoffwechsels verzweigter Aminosäuren;E71.1;Gefährlich
Zahnluxation;S03.2;Gefährlich
Sonstige Störungen des Kalziumstoffwechsels;E83.58;Gefährlich
Zervikalneuralgie;M54.2;Gefährlich
Sonstige somatoforme Störungen;F45.8;Gefährlich
Urtikaria, nicht näher bezeichnet;L50.9;Gefährlich
Zustand nach Lungentransplantation;Z94.2;Gefährlich
Sonstige Deletionen eines Chromosomenteils;Q93.5;Gefährlich
Osteoporose, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];M81.98;Gefährlich
Sonstige hypertrophische Kardiomyopathie;I42.2;Gefährlich
Schwere Intelligenzminderung: Keine oder geringfügige Verhaltensstörung;F72.0;Gefährlich
Sonstige angeborene Deformitäten des Schädels, des Gesichtes und des Kiefers;Q67.4;Gefährlich
Schwerste Intelligenzminderung: Ohne Angabe einer Verhaltensstörung;F73.9;Gefährlich
Schmerzen in den Extremitäten: Unterschenkel [Fibula, Tibia, Kniegelenk];M79.66;Gefährlich
Rechter Doppelausstromventrikel [Double outlet right ventricle];Q20.1;Gefährlich
Probleme mit Bezug auf Schwierigkeiten bei der Lebensbewältigung;Z73;Gefährlich
Schlaffe Paraparese und Paraplegie: Nicht näher bezeichnet;G82.09;Gefährlich
Omphalitis beim Neugeborenen mit oder ohne leichte Blutung;P38;Gefährlich
Oberflächliche Verletzung an einer nicht näher bezeichneten Körperregion: Insektenbiss oder -stich (ungiftig);T14.03;Gefährlich
Gelappte Niere, verschmolzene Niere und Hufeisenniere;Q63.1;Gefährlich
Hypoxisch-ischämische Enzephalopathie beim Neugeborenen [HIE];P91.6;Gefährlich
Intraventrikuläre (nichttraumatische) Blutung 3. Grades beim Feten und Neugeborenen;P52.2;Gefährlich
Malabsorption nach chirurgischem Eingriff, anderenorts nicht klassifiziert;K91.2;Gefährlich
Kontaktanlässe mit Bezug auf das Wohnumfeld oder die wirtschaftliche Lage;Z59;Gefährlich
Gastrointestinale Blutung, nicht näher bezeichnet;K92.2;Gefährlich
Infektion nach einem Eingriff, anderenorts nicht klassifiziert;T81.4;Gefährlich
Myalgie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];M79.18;Gefährlich
Akute Lymphadenitis an Gesicht, Kopf und Hals;L04.0;Gefährlich
Abnorme Befunde bei der zytologischen und histologischen Urinuntersuchung;R82.8;Gefährlich
Down-Syndrom, nicht näher bezeichnet;Q90.9;Gefährlich
Beobachtung bei Verdacht auf toxische Wirkung von aufgenommenen Substanzen;Z03.6;Gefährlich
Crohn-Krankheit der Speiseröhre und des Magen-Darm-Traktes, mehrere Teilbereiche betreffend;K50.82;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Sonstige abnorme Befunde;R85.8;Gefährlich
Emotionale Störung mit Geschwisterrivalität;F93.3;Gefährlich
Sonstige Trommelfellperforationen;H72.8;Gefährlich
Spezielle Verfahren zur Untersuchung auf angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien;Z13.7;Gefährlich
Zustand nach Lebertransplantation;Z94.4;Gefährlich
Sonstige Sphingolipidosen;E75.2;Gefährlich
Vorhandensein eines Tracheostomas;Z93.0;Gefährlich
Versorgen mit und Anpassen eines Gerätes im Harntrakt;Z46.6;Gefährlich
Umschriebene Entwicklungsstörung der Grobmotorik;F82.0;Gefährlich
Vesikuläre Pharyngitis durch Enteroviren;B08.5;Gefährlich
Zentrale Perforation des Trommelfells;H72.0;Gefährlich
Sonstige Zahnkaries;K02.8;Gefährlich
Sonstige und nicht näher bezeichnete Symptome, die das Erkennungsvermögen und das Bewusstsein betreffen;R41.8;Gefährlich
Spastische Paraparese und Paraplegie: Chronische komplette Querschnittlähmung;G82.12;Gefährlich
Überprüfung der Funktionsparameter einer Medikamentenpumpe;Z45.82;Gefährlich
Offene Wunde eines oder mehrerer Finger ohne Schädigung des Nagels;S61.0;Gefährlich
Periodische Beinbewegungen im Schlaf;G25.80;Gefährlich
Sonstige entzündliche Krankheiten des Penis;N48.2;Gefährlich
Sonstige akute Sinusitis;J01.8;Gefährlich
Skoliose, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation;M41.99;Gefährlich
Sonstige angeborene Deformitäten der Füße;Q66.8;Gefährlich
Nystagmus und sonstige abnorme Augenbewegungen;H55;Gefährlich
Notwendigkeit der Impfung gegen Virushepatitis;Z24.6;Gefährlich
Nondescensus testis, einseitig;Q53.1;Gefährlich
Sonstige angeborene Fehlbildungen des Hodens und des Skrotums;Q55.2;Gefährlich
Nierendysplasie;Q61.4;Gefährlich
Sonstige chronische nichteitrige Otitis media;H65.4;Gefährlich
Phlegmone an Fingern;L03.01;Gefährlich
Präexzitations-Syndrom;I45.6;Gefährlich
Oberflächliche Verletzung der behaarten Kopfhaut: Prellung;S00.05;Gefährlich
Sonstige emotionale Störungen des Kindesalters;F93.8;Gefährlich
Pleuraerguss, anderenorts nicht klassifiziert;J90;Gefährlich
Mechanische Komplikation durch gastrointestinale Prothesen, Implantate oder Transplantate;T85.5;Gefährlich
Nicht näher bezeichnete unerwünschte Nebenwirkung eines Arzneimittels oder einer Droge;T88.7;Gefährlich
Nicht näher bezeichnete Intelligenzminderung: Ohne Angabe einer Verhaltensstörung;F79.9;Gefährlich
Kardiomegalie;I51.7;Gefährlich
Hypovolämischer Schock;R57.1;Gefährlich
Intraventrikuläre (nichttraumatische) Blutung 2. Grades beim Feten und Neugeborenen;P52.1;Gefährlich
Hypothermie, nicht in Verbindung mit niedriger Umgebungstemperatur;R68.0;Gefährlich
Nasenbeinfraktur;S02.2;Gefährlich
Hypertrophie der Nasenmuscheln;J34.3;Gefährlich
Generalisierte Hauteruption durch Drogen oder Arzneimittel;L27.0;Gefährlich
Mononukleose durch Gamma-Herpesviren;B27.0;Gefährlich
Hyperhidrose, nicht näher bezeichnet;R61.9;Gefährlich
Herzinsuffizienz, nicht näher bezeichnet;I50.9;Gefährlich
Myoklonus;G25.3;Gefährlich
Akute Blutungsanämie;D62;Gefährlich
Allergie, ausgenommen Allergie gegenüber Arzneimitteln, Drogen oder biologisch aktiven Substanzen, in der Eigenanamnese;Z91.0;Gefährlich
Abnormer Mineral-Blutwert;R79.0;Gefährlich
Distale Fraktur des Radius: Nicht näher bezeichnet;S52.50;Gefährlich
Abnormer Wert nicht näher bezeichneter Serumenzyme;R74.9;Gefährlich
Akute Tonsillitis durch sonstige näher bezeichnete Erreger;J03.8;Gefährlich
Akute hämorrhagische Gastritis;K29.0;Gefährlich
Akute Mastoiditis;H70.0;Gefährlich
Atemstillstand;R09.2;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik sonstiger Teile des Verdauungstraktes;R93.3;Gefährlich
Enterokolitis durch Clostridium difficile;A04.7;Gefährlich
Erworbene Klauenhand, Klumphand, erworbener Klauenfuß und Klumpfuß: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M21.57;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnorme mikrobiologische Befunde;R85.5;Gefährlich
Angeborene Fehlbildungen des Corpus callosum;Q04.0;Gefährlich
Aufreißen einer Operationswunde, anderenorts nicht klassifiziert;T81.3;Gefährlich
Sonstige oberflächliche Verletzungen des Abdomens, der Lumbosakralgegend und des Beckens: Schürfwunde;S30.81;Gefährlich
Störungen des Magnesiumstoffwechsels;E83.4;Gefährlich
Zahnfraktur;S02.5;Gefährlich
Ventrikuläre Extrasystolie;I49.3;Gefährlich
Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs;A09.9;Gefährlich
Sonstige und nicht näher bezeichnete Störungen des Herzschlages;R00.8;Gefährlich
Ureterstein;N20.1;Gefährlich
Sonstige oberflächliche Verletzungen des Abdomens, der Lumbosakralgegend und des Beckens: Insektenbiss oder -stich (ungiftig);S30.83;Gefährlich
Unguis incarnatus;L60.0;Gefährlich
Sonstige oberflächliche Verletzungen des Unterarmes: Insektenbiss oder -stich (ungiftig);S50.83;Gefährlich
Zahnverlust durch Unfall, Extraktion oder lokalisierte parodontale Krankheit;K08.1;Gefährlich
Sonstige und nicht näher bezeichnete Extrasystolie;I49.4;Gefährlich
Sonstige oberflächliche Verletzungen der Knöchelregion und des Fußes: Schürfwunde;S90.81;Gefährlich
Umschriebene Entwicklungsstörung der motorischen Funktionen, nicht näher bezeichnet;F82.9;Gefährlich
Stenose der Aorta (angeboren);Q25.3;Gefährlich
Toxische Leberkrankheit mit Cholestase;K71.0;Gefährlich
Verbrennung Grad 2a des Handgelenkes und der Hand;T23.20;Gefährlich
Spastische Tetraparese und Tetraplegie: Chronische komplette Querschnittlähmung;G82.42;Gefährlich
Sonstige und nicht näher bezeichnete abnorme unwillkürliche Bewegungen;R25.8;Gefährlich
Ungehemmte neurogene Blasenentleerung, anderenorts nicht klassifiziert;N31.0;Gefährlich
Sonstige angeborene Fehlbildungen der A. pulmonalis;Q25.7;Gefährlich
Sonstige näher bezeichnete angeborene infektiöse und parasitäre Krankheiten;P37.8;Gefährlich
Sonstige Formen der Stomatitis;K12.1;Gefährlich
Reaktive Bindungsstörung des Kindesalters;F94.1;Gefährlich
Prellung des Oberschenkels;S70.1;Gefährlich
Reizbarkeit und Wut;R45.4;Gefährlich
Sonstige erworbene Deformitäten des Knöchels und des Fußes;M21.6;Gefährlich
Sonstige näher bezeichnete kardiale Erregungsleitungsstörungen;I45.8;Gefährlich
Pes adductus (congenitus);Q66.2;Gefährlich
Offene Wunde: Sonstige und mehrere Teile der Lippe und der Mundhöhle;S01.59;Gefährlich
Sonstige näher bezeichnete entzündliche Krankheit der Vagina und Vulva;N76.88;Gefährlich
Schlaffe Tetraparese und Tetraplegie: Nicht näher bezeichnet;G82.39;Gefährlich
Sonstige angeborene Deformitäten der Hüfte;Q65.8;Gefährlich
Schmerzen in den Extremitäten: Mehrere Lokalisationen;M79.60;Gefährlich
Sonstige angeborene Fehlbildungen der oberen Extremität(en) und des Schultergürtels;Q74.0;Gefährlich
Sehstörung, nicht näher bezeichnet;H53.9;Gefährlich
Sonstige Essstörungen;F50.8;Gefährlich
Sekundäre Amenorrhoe;N91.1;Gefährlich
Sonstige Hydrozele;N43.2;Gefährlich
Sepsis durch sonstige näher bezeichnete Staphylokokken;A41.1;Gefährlich
Pilonidalzyste ohne Abszess;L05.9;Gefährlich
Prellung des Ellenbogens;S50.0;Gefährlich
Sonstige allergische Rhinopathie;J30.3;Gefährlich
Sonstige Amnesie;R41.3;Gefährlich
Grippe durch bestimmte nachgewiesene Influenzaviren;J09;Gefährlich
Nichtinfektiöse Gastroenteritis und Kolitis, nicht näher bezeichnet;K52.9;Gefährlich
Hydrozele, nicht näher bezeichnet;N43.3;Gefährlich
Intestinale Adhäsionen [Briden] mit Obstruktion;K56.5;Gefährlich
Impetigo contagiosa [jeder Erreger] [jede Lokalisation];L01.0;Gefährlich
Komplikationen einer offenen Wunde: Sonstige;T89.03;Gefährlich
Gesichtsfelddefekte;H53.4;Gefährlich
Neuromyopathische Skoliose: Thorakalbereich;M41.44;Gefährlich
Nicht näher bezeichnete offene Wunde sonstiger Teile des Unterarmes;S51.80;Gefährlich
Kontaktanlässe mit Bezug auf andere psychosoziale Umstände;Z65;Gefährlich
Krankheiten der Haut und der Unterhaut in der Eigenanamnese;Z87.2;Gefährlich
Frühkindlicher Autismus;F84.0;Gefährlich
Krankheiten der Niere oder des Ureters in der Familienanamnese;Z84.1;Gefährlich
Krankheiten des Verdauungssystems in der Familienanamnese;Z83.7;Gefährlich
Multiple oberflächliche Verletzungen, nicht näher bezeichnet;T00.9;Gefährlich
Kachexie;R64;Gefährlich
Kandidose der Lunge;B37.1;Gefährlich
Dysphagie bei absaugpflichtigem Tracheostoma mit (teilweise) geblockter Trachealkanüle;R13.1;Gefährlich
Di-George-Syndrom;D82.1;Gefährlich
Epidurale Blutung;S06.4;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Nicht näher bezeichneter abnormer Befund;R85.9;Gefährlich
Diskordante ventrikuloarterielle Verbindung;Q20.3;Gefährlich
Angeborene Pneumonie, nicht näher bezeichnet;P23.9;Gefährlich
Enterobiasis;B80;Gefährlich
Angeborener Megaureter;Q62.2;Gefährlich
Erworbener Mangel an Gerinnungsfaktoren;D68.4;Gefährlich
Atypischer Autismus;F84.1;Gefährlich
Dilatative Kardiomyopathie;I42.0;Gefährlich
Chronische Gastritis, nicht näher bezeichnet;K29.5;Gefährlich
Dyskinetische Zerebralparese;G80.3;Gefährlich
Faszikulation;R25.3;Gefährlich
AB0-Isoimmunisierung beim Feten und Neugeborenen;P55.1;Gefährlich
Dehydratation beim Neugeborenen;P74.1;Gefährlich
Entwicklungsstörung des Sprechens oder der Sprache, nicht näher bezeichnet;F80.9;Gefährlich
Dekubitus 1. Grades: Sonstige Lokalisationen der unteren Extremität;L89.08;Gefährlich
Anaphylaktischer Schock, nicht näher bezeichnet;T78.2;Gefährlich
Dekubitus 4. Grades: Kopf;L89.30;Gefährlich
Essentielle Hypertonie, nicht näher bezeichnet: Ohne Angabe einer hypertensiven Krise;I10.90;Gefährlich
Diabetes mellitus, Typ 1: Ohne Komplikationen: Als entgleist bezeichnet;E10.91;Gefährlich
Akute Analfissur;K60.0;Gefährlich
Sonstige primäre Thrombozytopenie: Nicht als transfusionsrefraktär bezeichnet;D69.41;Gefährlich
Sonstige näher bezeichnete spezielle Untersuchungen;Z01.88;Gefährlich
Status asthmaticus;J46;Gefährlich
Sonstige transitorische Gerinnungsstörungen beim Neugeborenen;P61.6;Gefährlich
Spalte des harten und des weichen Gaumens;Q35.5;Gefährlich
Valgusdeformität, anderenorts nicht klassifiziert: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];M21.05;Gefährlich
Zustand nach Nierentransplantation;Z94.0;Gefährlich
Varizellen ohne Komplikation;B01.9;Gefährlich
Tremor, nicht näher bezeichnet;R25.1;Gefährlich
Sonstige oberflächliche Verletzungen des Augenlides und der Periokularregion: Insektenbiss oder -stich (ungiftig);S00.23;Gefährlich
Sonstige oberflächliche Verletzungen des Unterschenkels: Insektenbiss oder -stich (ungiftig);S80.83;Gefährlich
Sturzneigung, anderenorts nicht klassifiziert;R29.6;Gefährlich
Störung des Sozialverhaltens bei fehlenden sozialen Bindungen;F91.1;Gefährlich
Verbrennung Grad 2a des Kopfes und des Halses;T20.20;Gefährlich
Versorgung sonstiger künstlicher Körperöffnungen des Harntraktes;Z43.6;Gefährlich
Sonstiges akutes Nierenversagen;N17.8;Gefährlich
Sonstige näher bezeichnete Krankheiten des Magens und des Duodenums;K31.88;Gefährlich
Verbrennung Grad 2a des Rumpfes: Thoraxwand mit Ausnahme von Brustdrüse und -warze;T21.22;Gefährlich
Traumatische subarachnoidale Blutung;S06.6;Gefährlich
Vergiftung: 4-Aminophenol-Derivate;T39.1;Gefährlich
Sonstige und nicht näher bezeichnete intestinale Obstruktion;K56.6;Gefährlich
Verschmelzung der Labien;Q52.5;Gefährlich
Vorhandensein von sonstigen näher bezeichneten funktionellen Implantaten;Z96.88;Gefährlich
Sonstige oberflächliche Verletzungen des Augenlides und der Periokularregion: Schürfwunde;S00.21;Gefährlich
Stauungspapille, nicht näher bezeichnet;H47.1;Gefährlich
Sonstige näher bezeichnete Tremorformen;G25.2;Gefährlich
Stenose und Insuffizienz der Tränenwege;H04.5;Gefährlich
Sonstige Obturation des Darmes;K56.4;Gefährlich
Sonstiger näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Als entgleist bezeichnet;E13.91;Gefährlich
Tetanie;R29.0;Gefährlich
Versorgung eines Zystostomas;Z43.5;Gefährlich
Tortikollis;M43.6;Gefährlich
Schmerzen in den Extremitäten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];M79.65;Gefährlich
Phlegmone im Gesicht;L03.2;Gefährlich
Oberflächliche Verletzung des Ohres: Insektenbiss oder -stich (ungiftig);S00.43;Gefährlich
Prellung der Hüfte;S70.0;Gefährlich
Prellung sonstiger und nicht näher bezeichneter Teile des Fußes;S90.3;Gefährlich
Optische Halluzinationen;R44.1;Gefährlich
Sonstige Hypokalzämie beim Neugeborenen;P71.1;Gefährlich
Seborrhoisches Ekzem der Kinder;L21.1;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen der Niere;Q63.8;Gefährlich
Probleme mit Bezug auf: Konsum von Alkohol, Tabak, Arzneimitteln oder Drogen;Z72.0;Gefährlich
Schmerzen in den Extremitäten: Nicht näher bezeichnete Lokalisation;M79.69;Gefährlich
Sekundäre Impetiginisation anderer Dermatosen;L01.1;Gefährlich
Offene Wunde: Zunge und Mundboden;S01.54;Gefährlich
Orientierungsstörung, nicht näher bezeichnet;R41.0;Gefährlich
Schmerzen in den Extremitäten: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M79.67;Gefährlich
Offene Wunde sonstiger Teile des Fußes;S91.3;Gefährlich
Sonstige Krankheiten des Kehlkopfes;J38.7;Gefährlich
Nierenstein;N20.0;Gefährlich
Sonstige näher bezeichnete Anämien;D64.8;Gefährlich
Pruritus, nicht näher bezeichnet;L29.9;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen des Darmes;Q43.8;Gefährlich
Schädigung des Feten und Neugeborenen durch transplazentare Transfusionssyndrome;P02.3;Gefährlich
Sonstige angeborene Fehlbildungen der zerebralen Gefäße;Q28.38;Gefährlich
Schwere Asphyxie unter der Geburt;P21.0;Gefährlich
Neugeborenes: Geburtsgewicht 1500 bis unter 2500 Gramm;P07.12;Gefährlich
Hydrocephalus communicans;G91.0;Gefährlich
Hitzschlag und Sonnenstich;T67.0;Gefährlich
Hepatomegalie, anderenorts nicht klassifiziert;R16.0;Gefährlich
Intertriginöses Ekzem;L30.4;Gefährlich
Lokale Infektion der Haut und der Unterhaut, nicht näher bezeichnet;L08.9;Gefährlich
Hirschsprung-Krankheit;Q43.1;Gefährlich
Komplikationen einer offenen Wunde: Infektion;T89.02;Gefährlich
Lähmung des N. abducens [VI. Hirnnerv];H49.2;Gefährlich
Magnesiummangel;E61.2;Gefährlich
Leichte Intelligenzminderung: Deutliche Verhaltensstörung, die Beobachtung oder Behandlung erfordert;F70.1;Gefährlich
Infantile Zerebralparese, nicht näher bezeichnet;G80.9;Gefährlich
Narben und Fibrosen der Haut;L90.5;Gefährlich
Geburtsgeschwulst durch Geburtsverletzung;P12.1;Gefährlich
Neurogene Reflexblase, anderenorts nicht klassifiziert;N31.1;Gefährlich
Herzkrankheit, nicht näher bezeichnet;I51.9;Gefährlich
Isolierte Proteinurie;R80;Gefährlich
Metabolische Spätazidose beim Neugeborenen;P74.0;Gefährlich
Hordeolum und sonstige tiefe Entzündung des Augenlides;H00.0;Gefährlich
Mittelgradige depressive Episode;F32.1;Gefährlich
Hypoplastisches Rechtsherzsyndrom;Q22.6;Gefährlich
Molluscum contagiosum;B08.1;Gefährlich
Hautabszess, Furunkel und Karbunkel an Extremitäten;L02.4;Gefährlich
Anomalien des Kiefer-Schädelbasis-Verhältnisses;K07.1;Gefährlich
Angeborene(s) Fehlen, Atresie und Stenose des Anus ohne Fistel;Q42.3;Gefährlich
Duodenitis;K29.8;Gefährlich
Akute Gingivitis;K05.0;Gefährlich
Ankylose eines Gelenkes: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M24.67;Gefährlich
Aszites;R18;Gefährlich
Diabetes insipidus;E23.2;Gefährlich
Atemnotsyndrom des Erwachsenen [ARDS];J80;Gefährlich
Angeborene Tracheomalazie;Q32.0;Gefährlich
Beidseitiger Hörverlust durch Schallempfindungsstörung;H90.3;Gefährlich
Enteritis durch Campylobacter;A04.5;Gefährlich
Beobachtung bei Verdacht auf sonstige kardiovaskuläre Krankheiten;Z03.5;Gefährlich
Dekubitus 1. Grades: Obere Extremität;L89.01;Gefährlich
Abnorme Liquorbefunde: Nicht näher bezeichneter abnormer Befund;R83.9;Gefährlich
Akute Bronchitis durch sonstige näher bezeichnete Erreger;J20.8;Gefährlich
Abnormer Befund der Blutchemie, nicht näher bezeichnet;R79.9;Gefährlich
Disseminierte intravasale Gerinnung [DIG, DIC];D65.1;Gefährlich
Bösartige Neubildung sonstiger Organe und Systeme in der Familienanamnese;Z80.8;Gefährlich
Dysarthrie und Anarthrie;R47.1;Gefährlich
Bösartige Neubildungen sonstiger Organe oder Systeme in der Eigenanamnese;Z85.8;Gefährlich
Dysphagie mit Beaufsichtigungspflicht während der Nahrungsaufnahme;R13.0;Gefährlich
Akute Salpingitis und Oophoritis;N70.0;Gefährlich
Emotionale Störung mit Trennungsangst des Kindesalters;F93.0;Gefährlich
Chronische Rhinitis;J31.0;Gefährlich
Angeborene Aortenklappenstenose;Q23.0;Gefährlich
Akute Vulvitis;N76.2;Gefährlich
Andere bösartige Neubildungen des lymphatischen, blutbildenden oder verwandten Gewebes in der Eigenanamnese;Z85.7;Gefährlich
Akute Bronchitis durch Mycoplasma pneumoniae;J20.0;Gefährlich
Angeborene Hydronephrose;Q62.0;Gefährlich
